rumba	NOUN	Kuubasta peräisin olevaa paritanssi ja siihen liittyvä hidastempoinen musiikki.
ruoho	NOUN	Heinäkasvilajeista koostuva nurmikko.
sakea	ADJ	Hidas, tyhmä (henkilöstä).
sallia	VERB	Antaa lupa; antaa tehdä jotakin; suoda mahdollisuus.
sekopäinen	ADJ	Hullu, kajahtanut.
sidosryhmä	NOUN	Henkilöiden ja organisaatioiden muodostama ryhmä, jolla on sidos johonkin.
sikotauti	NOUN	Epideeminen parotiitti, virustauti jolle on tyypillistä sylkirauhasten turpoaminen.
sitoa	VERB	Absorboida, imeä itseensä.
sitoa	VERB	Olla sitova, velvoittaa.
solu	NOUN	Eliön rakenteellinen ja toiminnallinen perusyksikkö, joka sisältää kokonaisuudessaan sen perimän.
solvaus	NOUN	Aikaisemmassa lainsäädännössä kunnianloukkausrikoksiin sisältynyt rikosnimike, jonka alaiseen tekoon syyllistyi se, joka esitti toisesta sellaisen hätäisesti lausutun loukkauksen, joka ei sisältänyt herjausta.
sosialismi	NOUN	Marxin mukaan ekstrapolaatiossaan jotain mitä proletariaatti pyrkii valtioinstituution kautta harjoittamaan proletariaatin eduksi, kun porvarien valta on kaadettu kehittyneessä kapitalistisessa maassa; liittyy yhteiskunnalliseen kehitysvaiheeseen, jota Marx kutsui proletariaatin diktatuuriksi.
strategia	NOUN	Organisaation pitkän aikavälin kehityssuunta ja -ulottuvuus, jonka avulla muuttuvassa ympäristössä voimavaroja ja kykyjä järjestelemällä saavutetaan etuja kilpailussa.
syödä	VERB	Aterioida, laittaa ruokaa suuhunsa ja niellä sen jälkeen; käyttää ravinnoksi; ottaa oraalisesti.
tarjota	VERB	Antaa jollekin nautittavaksi, erityisesti ruokaa ja juomaa tai vastaavaa.
tarjota	VERB	Antaa mahdollisuus saada jotakin; antaa tilaisuus, mahdollisuus johonkin.
tarjota	VERB	Erityisesti kestitä omalla kustannuksellaan.
tarjota	VERB	Esittää tarjous, tehdä tarjous, sitoutua maksamaan jostain jotain.
tavata	VERB	Ajautua tekemiseen jonkun tai jonkin kanssa.
tavata	VERB	Esiintyä, ilmentyä, näkyä jossakin.
thaimaalainen	NOUN	Thaimaan kansalainen.
toimitus	NOUN	Henkilökunta, tilat ja varusteet julkaisun tuottamiseksi.
torium	NOUN	Eräs radioaktiiivinen alkuaine.
tunnusomainen	ADJ	Hyvin ominaisuuksiin tunnistettavasti kuuluva.
tunti	NOUN	Ajan yksikkö.
tutkija	NOUN	Ammatti, jonka harjoittajia on esimerkiksi yliopistoissa ja tutkimuslaitoksissa.
tuuba	NOUN	Hölynpöly, roska.
ura	NOUN	Elämän kuluessa kertyneet työtehtävät, työura.
ura	NOUN	Esineen raahaamisesta tai kulkemisesta syntynyt jälki maassa.
vaikuttaa	VERB	Aiheuttaa vaikutus tai muutos johonkin, muokata jotain asiaa, muuttaa jonkin etenemistä.
vaikuttaa	VERB	Antaa vaikutelma jostakin, olla jonkin oloinen, tuntua joltakin.
valjaat	NOUN	Hevosen tai muun juhdan kiinnittämiseen ajokalujen tai työkoneiden eteen, tai joiden avulla sitä ajettaessa tai sillä ratsastettaessa käytettävä varustus.
valkoinen	NOUN	Suomen sisällissodan valkoisiin kuuluva henkilö, mahdollisesti suojeluskuntalainen.
vanha	ADJ	Aiempi, entinen.
vasen	ADJ	Joka sijaitsee määräsuunnasta samalla puolella kuin katsojan sydän.
vauhti	NOUN	Nopeus, nopea liikkuminen.
verisukulaisuus	NOUN	Sukulaisuus, jossa osapuolet ovat suhteellisen läheisti sukua yhteisten esivanhempien kautta vastakohtana sukulaisuudelle avioliiton tai adoption kautta.
vihkisormus	NOUN	Avioliiton symbolina käytettävä vasemman käden nimettömässä.
viljellä	VERB	Harjoittaa maanviljelyä, myös kasvattaa kasveja kasvihuoneessa tai puutarhassa.
viulu	NOUN	4-kielinen, korkeaäänisin kamari- ja klassisessa musiikissa.
väärä	ADJ	Eettisesti tuomittava.
väärä	ADJ	Ei tarkoitettu, haluttu, toivottu, valittu.
yhdistää	VERB	Yhdeksi kokonaisuudeksi.
ylempi	ADJ	Enemmän yläpuolella sijaitseva.
yllättää	VERB	Aiheuttaa odottamattomalla teolla tai ilmestymisellä hämmennystä jollekulle.
älytön	ADJ	Valtava, poikkeuksellisen suuri.
ärtyisä	ADJ	Helposti ärtyvä, hermostuva, ärsyyntyvä, kiukkuisa.
